id,y,x
35,30.144737,-90.408906
36,30.147356,-90.407952
37,30.149974,-90.406998
38,30.152592,-90.406044
39,30.155211,-90.40509
40,30.157829,-90.404136
41,30.160447,-90.403182
42,30.163065,-90.402227
43,30.165684,-90.401273
44,30.168302,-90.400319
45,30.17092,-90.399364
46,30.173538,-90.39841
47,30.176156,-90.397456
48,30.178774,-90.396501
49,30.181392,-90.395546
50,30.18401,-90.394592
51,30.186628,-90.393637
52,30.189246,-90.392682
53,30.191864,-90.391727
54,30.194482,-90.390772
55,30.1971,-90.389817
56,30.199718,-90.388862
57,30.202336,-90.387907
58,30.204954,-90.386952
