FID,Count,Length,Name,SA/2D Area,Connection,Lat,Lon,x/y
3,3,34970.59906,BC Line 1,AmiteMaurepas,External,30.058146,-90.414833,"-90.414833,30.058146"
3,3,34970.59906,BC Line 1,AmiteMaurepas,External,30.060287,-90.412851,"-90.412851,30.060287"
3,3,34970.59906,BC Line 1,AmiteMaurepas,External,30.062428,-90.410869,"-90.410869,30.062428"
3,3,34970.59906,BC Line 1,AmiteMaurepas,External,30.064569,-90.408887,"-90.408887,30.064569"
3,3,34970.59906,BC Line 1,AmiteMaurepas,External,30.06671,-90.406905,"-90.406905,30.06671"
3,3,34970.59906,BC Line 1,AmiteMaurepas,External,30.068851,-90.404923,"-90.404923,30.068851"
3,3,34970.59906,BC Line 1,AmiteMaurepas,External,30.070992,-90.402941,"-90.402941,30.070992"
3,3,34970.59906,BC Line 1,AmiteMaurepas,External,30.073133,-90.400959,"-90.400959,30.073133"
3,3,34970.59906,BC Line 1,AmiteMaurepas,External,30.075274,-90.398977,"-90.398977,30.075274"
3,3,34970.59906,BC Line 1,AmiteMaurepas,External,30.077415,-90.396994,"-90.396994,30.077415"
3,3,34970.59906,BC Line 1,AmiteMaurepas,External,30.079556,-90.395011,"-90.395011,30.079556"
3,3,34970.59906,BC Line 1,AmiteMaurepas,External,30.081696,-90.393029,"-90.393029,30.081696"
3,3,34970.59906,BC Line 1,AmiteMaurepas,External,30.083837,-90.391046,"-90.391046,30.083837"
3,3,34970.59906,BC Line 1,AmiteMaurepas,External,30.085978,-90.389063,"-90.389063,30.085978"
3,3,34970.59906,BC Line 1,AmiteMaurepas,External,30.088118,-90.38708,"-90.38708,30.088118"
3,3,34970.59906,BC Line 1,AmiteMaurepas,External,30.090559,-90.387223,"-90.387223,30.090559"
3,3,34970.59906,BC Line 1,AmiteMaurepas,External,30.093134,-90.388324,"-90.388324,30.093134"
3,3,34970.59906,BC Line 1,AmiteMaurepas,External,30.095709,-90.389424,"-90.389424,30.095709"
3,3,34970.59906,BC Line 1,AmiteMaurepas,External,30.098284,-90.390524,"-90.390524,30.098284"
3,3,34970.59906,BC Line 1,AmiteMaurepas,External,30.100858,-90.391624,"-90.391624,30.100858"
3,3,34970.59906,BC Line 1,AmiteMaurepas,External,30.103433,-90.392725,"-90.392725,30.103433"
3,3,34970.59906,BC Line 1,AmiteMaurepas,External,30.106008,-90.393825,"-90.393825,30.106008"
3,3,34970.59906,BC Line 1,AmiteMaurepas,External,30.108583,-90.394925,"-90.394925,30.108583"
3,3,34970.59906,BC Line 1,AmiteMaurepas,External,30.111158,-90.396026,"-90.396026,30.111158"
3,3,34970.59906,BC Line 1,AmiteMaurepas,External,30.113733,-90.397127,"-90.397127,30.113733"
3,3,34970.59906,BC Line 1,AmiteMaurepas,External,30.116307,-90.398227,"-90.398227,30.116307"
3,3,34970.59906,BC Line 1,AmiteMaurepas,External,30.118882,-90.399328,"-90.399328,30.118882"
3,3,34970.59906,BC Line 1,AmiteMaurepas,External,30.121457,-90.400429,"-90.400429,30.121457"
3,3,34970.59906,BC Line 1,AmiteMaurepas,External,30.124031,-90.40153,"-90.40153,30.124031"
3,3,34970.59906,BC Line 1,AmiteMaurepas,External,30.126606,-90.402631,"-90.402631,30.126606"
3,3,34970.59906,BC Line 1,AmiteMaurepas,External,30.129181,-90.403732,"-90.403732,30.129181"
3,3,34970.59906,BC Line 1,AmiteMaurepas,External,30.131755,-90.404833,"-90.404833,30.131755"
3,3,34970.59906,BC Line 1,AmiteMaurepas,External,30.13433,-90.405934,"-90.405934,30.13433"
3,3,34970.59906,BC Line 1,AmiteMaurepas,External,30.136904,-90.407035,"-90.407035,30.136904"
3,3,34970.59906,BC Line 1,AmiteMaurepas,External,30.139479,-90.408137,"-90.408137,30.139479"
4,2,23231.13437,BC Line 2,AmiteMaurepas,External,30.144737,-90.408906,"-90.408906,30.144737"
4,2,23231.13437,BC Line 2,AmiteMaurepas,External,30.147356,-90.407952,"-90.407952,30.147356"
4,2,23231.13437,BC Line 2,AmiteMaurepas,External,30.149974,-90.406998,"-90.406998,30.149974"
4,2,23231.13437,BC Line 2,AmiteMaurepas,External,30.152592,-90.406044,"-90.406044,30.152592"
4,2,23231.13437,BC Line 2,AmiteMaurepas,External,30.155211,-90.40509,"-90.40509,30.155211"
4,2,23231.13437,BC Line 2,AmiteMaurepas,External,30.157829,-90.404136,"-90.404136,30.157829"
4,2,23231.13437,BC Line 2,AmiteMaurepas,External,30.160447,-90.403182,"-90.403182,30.160447"
4,2,23231.13437,BC Line 2,AmiteMaurepas,External,30.163065,-90.402227,"-90.402227,30.163065"
4,2,23231.13437,BC Line 2,AmiteMaurepas,External,30.165684,-90.401273,"-90.401273,30.165684"
4,2,23231.13437,BC Line 2,AmiteMaurepas,External,30.168302,-90.400319,"-90.400319,30.168302"
4,2,23231.13437,BC Line 2,AmiteMaurepas,External,30.17092,-90.399364,"-90.399364,30.17092"
4,2,23231.13437,BC Line 2,AmiteMaurepas,External,30.173538,-90.39841,"-90.39841,30.173538"
4,2,23231.13437,BC Line 2,AmiteMaurepas,External,30.176156,-90.397456,"-90.397456,30.176156"
4,2,23231.13437,BC Line 2,AmiteMaurepas,External,30.178774,-90.396501,"-90.396501,30.178774"
4,2,23231.13437,BC Line 2,AmiteMaurepas,External,30.181392,-90.395546,"-90.395546,30.181392"
4,2,23231.13437,BC Line 2,AmiteMaurepas,External,30.18401,-90.394592,"-90.394592,30.18401"
4,2,23231.13437,BC Line 2,AmiteMaurepas,External,30.186628,-90.393637,"-90.393637,30.186628"
4,2,23231.13437,BC Line 2,AmiteMaurepas,External,30.189246,-90.392682,"-90.392682,30.189246"
4,2,23231.13437,BC Line 2,AmiteMaurepas,External,30.191864,-90.391727,"-90.391727,30.191864"
4,2,23231.13437,BC Line 2,AmiteMaurepas,External,30.194482,-90.390772,"-90.390772,30.194482"
4,2,23231.13437,BC Line 2,AmiteMaurepas,External,30.1971,-90.389817,"-90.389817,30.1971"
4,2,23231.13437,BC Line 2,AmiteMaurepas,External,30.199718,-90.388862,"-90.388862,30.199718"
4,2,23231.13437,BC Line 2,AmiteMaurepas,External,30.202336,-90.387907,"-90.387907,30.202336"
4,2,23231.13437,BC Line 2,AmiteMaurepas,External,30.204954,-90.386952,"-90.386952,30.204954"
5,2,30958.35745,BC Line 3,AmiteMaurepas,External,30.206536,-90.385136,"-90.385136,30.206536"
5,2,30958.35745,BC Line 3,AmiteMaurepas,External,30.207936,-90.382409,"-90.382409,30.207936"
5,2,30958.35745,BC Line 3,AmiteMaurepas,External,30.209335,-90.379681,"-90.379681,30.209335"
5,2,30958.35745,BC Line 3,AmiteMaurepas,External,30.210735,-90.376953,"-90.376953,30.210735"
5,2,30958.35745,BC Line 3,AmiteMaurepas,External,30.212134,-90.374226,"-90.374226,30.212134"
5,2,30958.35745,BC Line 3,AmiteMaurepas,External,30.213533,-90.371498,"-90.371498,30.213533"
5,2,30958.35745,BC Line 3,AmiteMaurepas,External,30.214932,-90.36877,"-90.36877,30.214932"
5,2,30958.35745,BC Line 3,AmiteMaurepas,External,30.216332,-90.366042,"-90.366042,30.216332"
5,2,30958.35745,BC Line 3,AmiteMaurepas,External,30.217731,-90.363314,"-90.363314,30.217731"
5,2,30958.35745,BC Line 3,AmiteMaurepas,External,30.21913,-90.360586,"-90.360586,30.21913"
5,2,30958.35745,BC Line 3,AmiteMaurepas,External,30.220529,-90.357857,"-90.357857,30.220529"
5,2,30958.35745,BC Line 3,AmiteMaurepas,External,30.221927,-90.355129,"-90.355129,30.221927"
5,2,30958.35745,BC Line 3,AmiteMaurepas,External,30.223326,-90.3524,"-90.3524,30.223326"
5,2,30958.35745,BC Line 3,AmiteMaurepas,External,30.224725,-90.349672,"-90.349672,30.224725"
5,2,30958.35745,BC Line 3,AmiteMaurepas,External,30.226124,-90.346943,"-90.346943,30.226124"
5,2,30958.35745,BC Line 3,AmiteMaurepas,External,30.227522,-90.344214,"-90.344214,30.227522"
5,2,30958.35745,BC Line 3,AmiteMaurepas,External,30.228921,-90.341486,"-90.341486,30.228921"
5,2,30958.35745,BC Line 3,AmiteMaurepas,External,30.230319,-90.338757,"-90.338757,30.230319"
5,2,30958.35745,BC Line 3,AmiteMaurepas,External,30.231717,-90.336028,"-90.336028,30.231717"
5,2,30958.35745,BC Line 3,AmiteMaurepas,External,30.233116,-90.333298,"-90.333298,30.233116"
5,2,30958.35745,BC Line 3,AmiteMaurepas,External,30.234514,-90.330569,"-90.330569,30.234514"
5,2,30958.35745,BC Line 3,AmiteMaurepas,External,30.235912,-90.32784,"-90.32784,30.235912"
5,2,30958.35745,BC Line 3,AmiteMaurepas,External,30.23731,-90.325111,"-90.325111,30.23731"
5,2,30958.35745,BC Line 3,AmiteMaurepas,External,30.238708,-90.322381,"-90.322381,30.238708"
5,2,30958.35745,BC Line 3,AmiteMaurepas,External,30.240106,-90.319651,"-90.319651,30.240106"
5,2,30958.35745,BC Line 3,AmiteMaurepas,External,30.241504,-90.316922,"-90.316922,30.241504"
5,2,30958.35745,BC Line 3,AmiteMaurepas,External,30.242902,-90.314192,"-90.314192,30.242902"
5,2,30958.35745,BC Line 3,AmiteMaurepas,External,30.244299,-90.311462,"-90.311462,30.244299"
5,2,30958.35745,BC Line 3,AmiteMaurepas,External,30.245697,-90.308732,"-90.308732,30.245697"
5,2,30958.35745,BC Line 3,AmiteMaurepas,External,30.247095,-90.306002,"-90.306002,30.247095"
5,2,30958.35745,BC Line 3,AmiteMaurepas,External,30.248492,-90.303272,"-90.303272,30.248492"
6,2,23725.66435,BC Line 4,AmiteMaurepas,External,30.250955,-90.299354,"-90.299354,30.250955"
